name,classfication,percentage_male
Spewpa,Scatterdust Pokémon,50
Vivillon,Scale Pokémon,50
Litleo,Lion Cub Pokémon,11.2
Pyroar,Royal Pokémon,11.2
Flabébé,Single Bloom Pokémon,0
Floette,Fairy Pokémon,0
Florges,Garden Pokémon,0
Skiddo,Mount Pokémon,50
Gogoat,Mount Pokémon,50
Pancham,Playful Pokémon,50
Pangoro,Daunting Pokémon,50
Furfrou,Poodle Pokémon,50
Espurr,Restraint Pokémon,50
Meowstic,Constraint Pokémon,50
Honedge,Sword Pokémon,50
Doublade,Sword Pokémon,50
Aegislash,Royal Sword Pokémon,50
Spritzee,Perfume Pokémon,50
Aromatisse,Fragrance Pokémon,50
Swirlix,Cotton Candy Pokémon,50
Slurpuff,Meringue Pokémon,50
Inkay,Revolving Pokémon,50
Malamar,Overturning Pokémon,50
Binacle,Two-Handed Pokémon,50
Barbaracle,Collective Pokémon,50
Skrelp,Mock Kelp Pokémon,50
Dragalge,Mock Kelp Pokémon,50
Clauncher,Water Gun Pokémon,50
Clawitzer,Howitzer Pokémon,50
Helioptile,Generator Pokémon,50
Heliolisk,Generator Pokémon,50
Tyrunt,Royal Heir Pokémon,88.1
Tyrantrum,Despot Pokémon,88.1
Amaura,Tundra Pokémon,88.1
Aurorus,Tundra Pokémon,88.1
Sylveon,Intertwining Pokémon,88.1
Hawlucha,Wrestling Pokémon,50
Dedenne,Antenna Pokémon,50
Carbink,Jewel Pokémon,
Goomy,Soft Tissue Pokémon,50
Sliggoo,Soft Tissue Pokémon,50
Goodra,Dragon Pokémon,50
Klefki,Key Ring Pokémon,50
Phantump,Stump Pokémon,50
Trevenant,Elder Tree Pokémon,50
Pumpkaboo,Pumpkin Pokémon,50
Gourgeist,Pumpkin Pokémon,50
Bergmite,Ice Chunk Pokémon,50
Avalugg,Iceberg Pokémon,50
Noibat,Sound Wave Pokémon,50
Noivern,Sound Wave Pokémon,50
Xerneas,Life Pokémon,
Yveltal,Destruction Pokémon,
Zygarde,Order Pokémon,
Diancie,Jewel Pokémon,
Hoopa,Mischief Pokémon (Confined)Djinn Pokémonn (Unbound),
Volcanion,Steam Pokémon,
Rowlet,Grass Quill Pokémon,88.1
Dartrix,Blade Quill Pokémon,88.1
Decidueye,Arrow Quill Pokémon,88.1
Litten,Fire Cat Pokémon,88.1
Torracat,Fire Cat Pokémon,88.1
Incineroar,Heel Pokémon,88.1
Popplio,Sea Lion Pokémon,88.1
Brionne,Pop Star Pokémon,88.1
Primarina,Soloist Pokémon,88.1
Pikipek,Woodpecker Pokémon,50
Trumbeak,Bugle Beak Pokémon,50
Toucannon,Cannon Pokémon,50
Yungoos,Loitering Pokémon,50
Gumshoos,Stakeout Pokémon,50
Grubbin,Larva Pokémon,50
Charjabug,Battery Pokémon,50
Vikavolt,Stag Beetle Pokémon,50
Crabrawler,Boxing Pokémon,50
Crabominable,Woolly Crab Pokémon,50
Oricorio,Dancing Pokémon,24.6
Cutiefly,Bee Fly Pokémon,50
Ribombee,Bee Fly Pokémon,50
Rockruff,Puppy Pokémon,50
Lycanroc,Wolf Pokémon,50
Wishiwashi,Small Fry Pokémon,50
Mareanie,Brutal Star Pokémon,50
Toxapex,Brutal Star Pokémon,50
Mudbray,Donkey Pokémon,50
Mudsdale,Draft Horse Pokémon,50
