name,generation,is_legendary
Quilava,2,0
Typhlosion,2,0
Totodile,2,0
Croconaw,2,0
Feraligatr,2,0
Sentret,2,0
Furret,2,0
Hoothoot,2,0
Noctowl,2,0
Ledyba,2,0
Ledian,2,0
Spinarak,2,0
Ariados,2,0
Crobat,2,0
Chinchou,2,0
Lanturn,2,0
Pichu,2,0
Cleffa,2,0
Igglybuff,2,0
Togepi,2,0
Togetic,2,0
Natu,2,0
Xatu,2,0
Mareep,2,0
Flaaffy,2,0
Ampharos,2,0
Bellossom,2,0
Marill,2,0
Azumarill,2,0
Sudowoodo,2,0
Politoed,2,0
Hoppip,2,0
Skiploom,2,0
Jumpluff,2,0
Aipom,2,0
Sunkern,2,0
Sunflora,2,0
Yanma,2,0
Wooper,2,0
Quagsire,2,0
Espeon,2,0
Umbreon,2,0
Murkrow,2,0
Slowking,2,0
Misdreavus,2,0
Unown,2,0
Wobbuffet,2,0
Girafarig,2,0
Pineco,2,0
Forretress,2,0
Dunsparce,2,0
Gligar,2,0
Steelix,2,0
Snubbull,2,0
Granbull,2,0
Qwilfish,2,0
Scizor,2,0
Shuckle,2,0
Heracross,2,0
Sneasel,2,0
Teddiursa,2,0
Ursaring,2,0
Slugma,2,0
Magcargo,2,0
Swinub,2,0
Piloswine,2,0
Corsola,2,0
Remoraid,2,0
Octillery,2,0
Delibird,2,0
Mantine,2,0
Skarmory,2,0
Houndour,2,0
Houndoom,2,0
Kingdra,2,0
Phanpy,2,0
Donphan,2,0
Porygon2,2,0
Stantler,2,0
Smeargle,2,0
Tyrogue,2,0
Hitmontop,2,0
Smoochum,2,0
Elekid,2,0
Magby,2,0
Miltank,2,0
Blissey,2,0
Raikou,2,1
Entei,2,1
Suicune,2,1
Larvitar,2,0
Pupitar,2,0
Tyranitar,2,0
Lugia,2,1
Ho-Oh,2,1
Celebi,2,1
Treecko,3,0
Grovyle,3,0
Sceptile,3,0
Torchic,3,0
Combusken,3,0
Blaziken,3,0
Mudkip,3,0
Marshtomp,3,0
Swampert,3,0
Poochyena,3,0
Mightyena,3,0
Zigzagoon,3,0
Linoone,3,0
Wurmple,3,0
Silcoon,3,0
Beautifly,3,0
Cascoon,3,0
Dustox,3,0
Lotad,3,0
Lombre,3,0
Ludicolo,3,0
Seedot,3,0
Nuzleaf,3,0
Shiftry,3,0
Taillow,3,0
Swellow,3,0
Wingull,3,0
Pelipper,3,0
Ralts,3,0
Kirlia,3,0
Gardevoir,3,0
Surskit,3,0
Masquerain,3,0
Shroomish,3,0
Breloom,3,0
Slakoth,3,0
Vigoroth,3,0
Slaking,3,0
Nincada,3,0
Ninjask,3,0
Shedinja,3,0
Whismur,3,0
Loudred,3,0
Exploud,3,0
Makuhita,3,0
Hariyama,3,0
Azurill,3,0
Nosepass,3,0
Skitty,3,0
Delcatty,3,0
Sableye,3,0
Mawile,3,0
Aron,3,0
Lairon,3,0
Aggron,3,0
Meditite,3,0
Medicham,3,0
Electrike,3,0
Manectric,3,0
Plusle,3,0
Minun,3,0
Volbeat,3,0
Illumise,3,0
Roselia,3,0
Gulpin,3,0
Swalot,3,0
Carvanha,3,0
Sharpedo,3,0
Wailmer,3,0
Wailord,3,0
Numel,3,0
Camerupt,3,0
Torkoal,3,0
Spoink,3,0
Grumpig,3,0
Spinda,3,0
Trapinch,3,0
Vibrava,3,0
Flygon,3,0
Cacnea,3,0
Cacturne,3,0
Swablu,3,0
Altaria,3,0
Zangoose,3,0
Seviper,3,0
Lunatone,3,0
Solrock,3,0
Barboach,3,0
Whiscash,3,0
Corphish,3,0
Crawdaunt,3,0
Baltoy,3,0
Claydol,3,0
Lileep,3,0
Cradily,3,0
Anorith,3,0
Armaldo,3,0
Feebas,3,0
Milotic,3,0
Castform,3,0
Kecleon,3,0
Shuppet,3,0
Banette,3,0
Duskull,3,0
Dusclops,3,0
Tropius,3,0
Chimecho,3,0
Absol,3,0
Wynaut,3,0
Snorunt,3,0
Glalie,3,0
Spheal,3,0
Sealeo,3,0
Walrein,3,0
Clamperl,3,0
Huntail,3,0
Gorebyss,3,0
Relicanth,3,0
Luvdisc,3,0
Bagon,3,0
Shelgon,3,0
Salamence,3,0
Beldum,3,0
Metang,3,0
Metagross,3,0
Regirock,3,1
Regice,3,1
Registeel,3,1
Latias,3,1
Latios,3,1
Kyogre,3,1
Groudon,3,1
Rayquaza,3,1
Jirachi,3,1
Deoxys,3,1
Turtwig,4,0
Grotle,4,0
Torterra,4,0
Chimchar,4,0
Monferno,4,0
Infernape,4,0
Piplup,4,0
Prinplup,4,0
Empoleon,4,0
Starly,4,0
Staravia,4,0
Staraptor,4,0
Bidoof,4,0
Bibarel,4,0
Kricketot,4,0
Kricketune,4,0
Shinx,4,0
Luxio,4,0
Luxray,4,0
Budew,4,0
Roserade,4,0
Cranidos,4,0
Rampardos,4,0
Shieldon,4,0
Bastiodon,4,0
Burmy,4,0
Wormadam,4,0
Mothim,4,0
Combee,4,0
Vespiquen,4,0
Pachirisu,4,0
Buizel,4,0
Floatzel,4,0
Cherubi,4,0
Cherrim,4,0
Shellos,4,0
Gastrodon,4,0
Ambipom,4,0
Drifloon,4,0
Drifblim,4,0
Buneary,4,0
Lopunny,4,0
Mismagius,4,0
Honchkrow,4,0
Glameow,4,0
Purugly,4,0
Chingling,4,0
Stunky,4,0
Skuntank,4,0
Bronzor,4,0
Bronzong,4,0
Bonsly,4,0
Mime Jr.,4,0
Happiny,4,0
Chatot,4,0
Spiritomb,4,0
Gible,4,0
Gabite,4,0
Garchomp,4,0
Munchlax,4,0
Riolu,4,0
Lucario,4,0
Hippopotas,4,0
Hippowdon,4,0
Skorupi,4,0
Drapion,4,0
Croagunk,4,0
Toxicroak,4,0
Carnivine,4,0
Finneon,4,0
Lumineon,4,0
Mantyke,4,0
Snover,4,0
Abomasnow,4,0
Weavile,4,0
Magnezone,4,0
Lickilicky,4,0
Rhyperior,4,0
Tangrowth,4,0
Electivire,4,0
Magmortar,4,0
Togekiss,4,0
Yanmega,4,0
Leafeon,4,0
Glaceon,4,0
Gliscor,4,0
Mamoswine,4,0
Porygon-Z,4,0
Gallade,4,0
Probopass,4,0
Dusknoir,4,0
Froslass,4,0
Rotom,4,0
Uxie,4,1
Mesprit,4,1
Azelf,4,1
Dialga,4,1
Palkia,4,1
Heatran,4,1
Regigigas,4,1
Giratina,4,1
Cresselia,4,1
Phione,4,0
Manaphy,4,1
Darkrai,4,1
Shaymin,4,1
Arceus,4,1
Victini,5,1
Snivy,5,0
Servine,5,0
Serperior,5,0
Tepig,5,0
Pignite,5,0
Emboar,5,0
Oshawott,5,0
Dewott,5,0
Samurott,5,0
Patrat,5,0
Watchog,5,0
Lillipup,5,0
Herdier,5,0
Stoutland,5,0
Purrloin,5,0
Liepard,5,0
Pansage,5,0
Simisage,5,0
Pansear,5,0
Simisear,5,0
Panpour,5,0
Simipour,5,0
Munna,5,0
Musharna,5,0
Pidove,5,0
Tranquill,5,0
Unfezant,5,0
Blitzle,5,0
Zebstrika,5,0
Roggenrola,5,0
Boldore,5,0
Gigalith,5,0
Woobat,5,0
Swoobat,5,0
Drilbur,5,0
Excadrill,5,0
Audino,5,0
Timburr,5,0
Gurdurr,5,0
Conkeldurr,5,0
Tympole,5,0
Palpitoad,5,0
Seismitoad,5,0
Throh,5,0
Sawk,5,0
Sewaddle,5,0
Swadloon,5,0
Leavanny,5,0
Venipede,5,0
Whirlipede,5,0
Scolipede,5,0
Cottonee,5,0
Whimsicott,5,0
Petilil,5,0
Lilligant,5,0
Basculin,5,0
Sandile,5,0
Krokorok,5,0
Krookodile,5,0
Darumaka,5,0
Darmanitan,5,0
Maractus,5,0
Dwebble,5,0
Crustle,5,0
Scraggy,5,0
Scrafty,5,0
Sigilyph,5,0
Yamask,5,0
Cofagrigus,5,0
Tirtouga,5,0
Carracosta,5,0
Archen,5,0
Archeops,5,0
Trubbish,5,0
Garbodor,5,0
Zorua,5,0
Zoroark,5,0
Minccino,5,0
Cinccino,5,0
Gothita,5,0
Gothorita,5,0
Gothitelle,5,0
Solosis,5,0
Duosion,5,0
Reuniclus,5,0
Ducklett,5,0
Swanna,5,0
Vanillite,5,0
Vanillish,5,0
Vanilluxe,5,0
Deerling,5,0
Sawsbuck,5,0
Emolga,5,0
Karrablast,5,0
Escavalier,5,0
Foongus,5,0
Amoonguss,5,0
Frillish,5,0
Jellicent,5,0
Alomomola,5,0
Joltik,5,0
Galvantula,5,0
Ferroseed,5,0
Ferrothorn,5,0
Klink,5,0
Klang,5,0
Klinklang,5,0
Tynamo,5,0
Eelektrik,5,0
Eelektross,5,0
Elgyem,5,0
Beheeyem,5,0
Litwick,5,0
Lampent,5,0
Chandelure,5,0
Axew,5,0
Fraxure,5,0
Haxorus,5,0
Cubchoo,5,0
Beartic,5,0
Cryogonal,5,0
Shelmet,5,0
Accelgor,5,0
Stunfisk,5,0
Mienfoo,5,0
Mienshao,5,0
Druddigon,5,0
Golett,5,0
Golurk,5,0
Pawniard,5,0
Bisharp,5,0
Bouffalant,5,0
Rufflet,5,0
Braviary,5,0
Vullaby,5,0
Mandibuzz,5,0
Heatmor,5,0
Durant,5,0
Deino,5,0
Zweilous,5,0
Hydreigon,5,0
Larvesta,5,0
Volcarona,5,0
Cobalion,5,1
Terrakion,5,1
Virizion,5,1
Tornadus,5,1
Thundurus,5,1
Reshiram,5,1
Zekrom,5,1
Landorus,5,1
Kyurem,5,1
Keldeo,5,1
Meloetta,5,1
Genesect,5,1
Chespin,6,0
Quilladin,6,0
Chesnaught,6,0
Fennekin,6,0
Braixen,6,0
Delphox,6,0
Froakie,6,0
Frogadier,6,0
Greninja,6,0
Bunnelby,6,0
Diggersby,6,0
Fletchling,6,0
Fletchinder,6,0
Talonflame,6,0
Scatterbug,6,0
Spewpa,6,0
Vivillon,6,0
Litleo,6,0
Pyroar,6,0
Flabébé,6,0
Floette,6,0
Florges,6,0
Skiddo,6,0
Gogoat,6,0
Pancham,6,0
Pangoro,6,0
Furfrou,6,0
Espurr,6,0
Meowstic,6,0
Honedge,6,0
Doublade,6,0
Aegislash,6,0
Spritzee,6,0
Aromatisse,6,0
Swirlix,6,0
Slurpuff,6,0
Inkay,6,0
Malamar,6,0
Binacle,6,0
Barbaracle,6,0
Skrelp,6,0
Dragalge,6,0
Clauncher,6,0
Clawitzer,6,0
Helioptile,6,0
Heliolisk,6,0
Tyrunt,6,0
Tyrantrum,6,0
Amaura,6,0
Aurorus,6,0
Sylveon,6,0
Hawlucha,6,0
Dedenne,6,0
Carbink,6,0
Goomy,6,0
Sliggoo,6,0
Goodra,6,0
Klefki,6,0
Phantump,6,0
Trevenant,6,0
Pumpkaboo,6,0
Gourgeist,6,0
Bergmite,6,0
Avalugg,6,0
Noibat,6,0
Noivern,6,0
Xerneas,6,1
Yveltal,6,1
Zygarde,6,1
Diancie,6,1
Hoopa,6,1
Volcanion,6,1
Rowlet,7,0
Dartrix,7,0
Decidueye,7,0
Litten,7,0
Torracat,7,0
Incineroar,7,0
Popplio,7,0
Brionne,7,0
Primarina,7,0
Pikipek,7,0
Trumbeak,7,0
Toucannon,7,0
Yungoos,7,0
Gumshoos,7,0
Grubbin,7,0
Charjabug,7,0
Vikavolt,7,0
Crabrawler,7,0
Crabominable,7,0
Oricorio,7,0
Cutiefly,7,0
Ribombee,7,0
Rockruff,7,0
Lycanroc,7,0
Wishiwashi,7,0
Mareanie,7,0
Toxapex,7,0
Mudbray,7,0
Mudsdale,7,0
Dewpider,7,0
Araquanid,7,0
Fomantis,7,0
Lurantis,7,0
Morelull,7,0
Shiinotic,7,0
Salandit,7,0
Salazzle,7,0
Stufful,7,0
Bewear,7,0
Bounsweet,7,0
Steenee,7,0
Tsareena,7,0
Comfey,7,0
Oranguru,7,0
Passimian,7,0
Wimpod,7,0
Golisopod,7,0
Sandygast,7,0
Palossand,7,0
Pyukumuku,7,0
Type: Null,7,0
Silvally,7,0
Minior,7,0
Komala,7,0
Turtonator,7,0
Togedemaru,7,0
Mimikyu,7,0
Bruxish,7,0
Drampa,7,0
Dhelmise,7,0
Jangmo-o,7,0
Hakamo-o,7,0
Kommo-o,7,0
Tapu Koko,7,1
Tapu Lele,7,1
Tapu Bulu,7,1
Tapu Fini,7,1
Cosmog,7,1
Cosmoem,7,1
Solgaleo,7,1
Lunala,7,1
Nihilego,7,1
Buzzwole,7,1
Pheromosa,7,1
Xurkitree,7,1
Celesteela,7,1
Kartana,7,1
Guzzlord,7,1
Necrozma,7,1
Magearna,7,1
