pokedex_number,japanese_name,name,classfication,abilities,type1,type2,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,base_egg_steps,base_happiness,capture_rate,experience_growth,base_total,hp,attack,defense,sp_attack,sp_defense,speed,percentage_male,height_m,weight_kg,generation,is_legendary
11,Transelトランセル,Metapod,Cocoon Pokémon,['Shed Skin'],bug,,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,3840,70,120,1000000,205,50,20,55,25,25,30,50,0.7,9.9,1,0
12,Butterfreeバタフリー,Butterfree,Butterfly Pokémon,"['Compoundeyes', 'Tinted Lens']",bug,flying,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,3840,70,45,1000000,395,60,45,50,90,80,70,50,1.1,32,1,0
13,Beedleビードル,Weedle,Hairy Pokémon,"['Shield Dust', 'Run Away']",bug,poison,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,3840,70,255,1000000,195,40,35,30,20,20,50,50,0.3,3.2,1,0
14,Cocoonコクーン,Kakuna,Cocoon Pokémon,['Shed Skin'],bug,poison,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,3840,70,120,1000000,205,45,25,50,25,25,35,50,0.6,10,1,0
15,Spearスピアー,Beedrill,Poison Bee Pokémon,"['Swarm', 'Sniper']",bug,poison,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,3840,70,45,1000000,495,65,150,40,15,80,145,50,1,29.5,1,0
16,Poppoポッポ,Pidgey,Tiny Bird Pokémon,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",normal,flying,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,3840,70,255,1059860,251,40,45,40,35,35,56,50,0.3,1.8,1,0
17,Pigeonピジョン,Pidgeotto,Bird Pokémon,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",normal,flying,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,3840,70,120,1059860,349,63,60,55,50,50,71,50,1.1,30,1,0
18,Pigeotピジョット,Pidgeot,Bird Pokémon,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",normal,flying,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,3840,70,45,1059860,579,83,80,80,135,80,121,50,1.5,39.5,1,0
19,Korattaコラッタ,Rattata,Mouse Pokémon,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",normal,dark,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,3840,70,255,1000000,253,30,56,35,25,35,72,50,,,1,0
20,Rattaラッタ,Raticate,Mouse Pokémon,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",normal,dark,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,3840,70,127,1000000,413,75,71,70,40,80,77,50,,,1,0
21,Onisuzumeオニスズメ,Spearow,Tiny Bird Pokémon,"['Keen Eye', 'Sniper']",normal,flying,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,3840,70,255,1000000,262,40,60,30,31,31,70,50,0.3,2,1,0
22,Onidrillオニドリル,Fearow,Beak Pokémon,"['Keen Eye', 'Sniper']",normal,flying,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,3840,70,90,1000000,442,65,90,65,61,61,100,50,1.2,38,1,0
23,Arboアーボ,Ekans,Snake Pokémon,"['Intimidate', 'Shed Skin', 'Unnerve']",poison,,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,5120,70,255,1000000,288,35,60,44,40,54,55,50,2,6.9,1,0
24,Arbokアーボック,Arbok,Cobra Pokémon,"['Intimidate', 'Shed Skin', 'Unnerve']",poison,,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,5120,70,90,1000000,448,60,95,69,65,79,80,50,3.5,65,1,0
25,Pikachuピカチュウ,Pikachu,Mouse Pokémon,"['Static', 'Lightningrod']",electric,,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,2560,70,190,1000000,320,35,55,40,50,50,90,50,0.4,6,1,0
26,Raichuライチュウ,Raichu,Mouse Pokémon,"['Static', 'Lightningrod', 'Surge Surfer']",electric,electric,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,2560,70,75,1000000,485,60,85,50,95,85,110,50,,,1,0
27,Sandサンド,Sandshrew,Mouse Pokémon,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",ground,ice,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,5120,70,255,1000000,300,50,75,90,10,35,40,50,,,1,0
28,Sandpanサンドパン,Sandslash,Mouse Pokémon,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",ground,ice,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,5120,70,90,1000000,450,75,100,120,25,65,65,50,,,1,0
29,Nidoran?ニドラン♀,Nidoran♀,Poison Pin Pokémon,"['Poison Point', 'Rivalry', 'Hustle']",poison,,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,5120,70,235,1059860,275,55,47,52,40,40,41,0,0.4,7,1,0
30,Nidorinaニドリーナ,Nidorina,Poison Pin Pokémon,"['Poison Point', 'Rivalry', 'Hustle']",poison,,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,5120,70,120,1059860,365,70,62,67,55,55,56,0,0.8,20,1,0
31,Nidoqueenニドクイン,Nidoqueen,Drill Pokémon,"['Poison Point', 'Rivalry', 'Sheer Force']",poison,ground,0.5,1,1,0,0.5,0.5,1,1,1,1,2,2,1,0.25,2,0.5,1,2,5120,70,45,1059860,505,90,92,87,75,85,76,0,1.3,60,1,0
32,Nidoran?ニドラン♂,Nidoran♂,Poison Pin Pokémon,"['Poison Point', 'Rivalry', 'Hustle']",poison,,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,5120,70,235,1059860,273,46,57,40,40,40,50,100,0.5,9,1,0
33,Nidorinoニドリーノ,Nidorino,Poison Pin Pokémon,"['Poison Point', 'Rivalry', 'Hustle']",poison,,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,5120,70,120,1059860,365,61,72,57,55,55,65,100,0.9,19.5,1,0
34,Nidokingニドキング,Nidoking,Drill Pokémon,"['Poison Point', 'Rivalry', 'Sheer Force']",poison,ground,0.5,1,1,0,0.5,0.5,1,1,1,1,2,2,1,0.25,2,0.5,1,2,5120,70,45,1059860,505,81,102,77,85,75,85,100,1.4,62,1,0
35,Pippiピッピ,Clefairy,Fairy Pokémon,"['Cute Charm', 'Magic Guard', 'Friend Guard']",fairy,,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,2560,140,150,800000,323,70,45,48,60,65,35,24.6,0.6,7.5,1,0
36,Pixyピクシー,Clefable,Fairy Pokémon,"['Cute Charm', 'Magic Guard', 'Unaware']",fairy,,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,2560,140,25,800000,483,95,70,73,95,90,60,24.6,1.3,40,1,0
37,Rokonロコン,Vulpix,Fox Pokémon,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",fire,ice,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,5120,70,190,1000000,299,38,41,40,50,65,65,24.6,,,1,0
38,Kyukonキュウコン,Ninetales,Fox Pokémon,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",fire,ice,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,5120,70,75,1000000,505,73,67,75,81,100,109,24.6,,,1,0
39,Purinプリン,Jigglypuff,Balloon Pokémon,"['Cute Charm', 'Competitive', 'Friend Guard']",normal,fairy,0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,2560,70,170,800000,270,115,45,20,45,25,20,24.6,0.5,5.5,1,0
40,Pukurinプクリン,Wigglytuff,Balloon Pokémon,"['Cute Charm', 'Competitive', 'Frisk']",normal,fairy,0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,2560,70,50,800000,435,140,70,45,85,50,45,24.6,1,12,1,0
41,Zubatズバット,Zubat,Bat Pokémon,"['Inner Focus', 'Infiltrator']",poison,flying,0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,3840,70,255,1000000,245,40,45,35,30,40,55,50,0.8,7.5,1,0
42,Golbatゴルバット,Golbat,Bat Pokémon,"['Inner Focus', 'Infiltrator']",poison,flying,0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,3840,70,90,1000000,455,75,80,70,65,75,90,50,1.6,55,1,0
43,Nazonokusaナゾノクサ,Oddish,Weed Pokémon,"['Chlorophyll', 'Run Away']",grass,poison,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,5120,70,255,1059860,320,45,50,55,75,65,30,50,0.5,5.4,1,0
44,Kusaihanaクサイハナ,Gloom,Weed Pokémon,"['Chlorophyll', 'Stench']",grass,poison,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,5120,70,120,1059860,395,60,65,70,85,75,40,50,0.8,8.6,1,0
45,Ruffresiaラフレシア,Vileplume,Flower Pokémon,"['Chlorophyll', 'Effect Spore']",grass,poison,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,5120,70,45,1059860,490,75,80,85,110,90,50,50,1.2,18.6,1,0
46,Parasパラス,Paras,Mushroom Pokémon,"['Effect Spore', 'Dry Skin', 'Damp']",bug,grass,2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5,5120,70,190,1000000,285,35,70,55,45,55,25,50,0.3,5.4,1,0
47,Parasectパラセクト,Parasect,Mushroom Pokémon,"['Effect Spore', 'Dry Skin', 'Damp']",bug,grass,2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5,5120,70,75,1000000,405,60,95,80,60,80,30,50,1,29.5,1,0
48,Kongpangコンパン,Venonat,Insect Pokémon,"['Compoundeyes', 'Tinted Lens', 'Run Away']",bug,poison,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,5120,70,190,1000000,305,60,55,50,40,55,45,50,1,30,1,0
49,Morphonモルフォン,Venomoth,Poison Moth Pokémon,"['Shield Dust', 'Tinted Lens', 'Wonder Skin ']",bug,poison,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,5120,70,75,1000000,450,70,65,60,90,75,90,50,1.5,12.5,1,0
50,Digdaディグダ,Diglett,Mole Pokémon,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",ground,ground,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,5120,70,255,1000000,265,10,55,30,35,45,90,50,,,1,0
51,Dugtrioダグトリオ,Dugtrio,Mole Pokémon,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",ground,ground,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,5120,70,50,1000000,425,35,100,60,50,70,110,50,,,1,0
52,Nyarthニャース,Meowth,Scratch Cat Pokémon,"['Pickup', 'Technician', 'Unnerve', 'Pickup', 'Technician', 'Rattled']",normal,dark,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,5120,70,255,1000000,290,40,35,35,50,40,90,50,,,1,0
53,Persianペルシアン,Persian,Classy Cat Pokémon,"['Limber', 'Technician', 'Unnerve', 'Fur Coat', 'Technician', 'Rattled']",normal,dark,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,5120,70,90,1000000,440,65,60,60,75,65,115,50,,,1,0
54,Koduckコダック,Psyduck,Duck Pokémon,"['Damp', 'Cloud Nine', 'Swift Swim']",water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,190,1000000,320,50,52,48,65,50,55,50,0.8,19.6,1,0
55,Golduckゴルダック,Golduck,Duck Pokémon,"['Damp', 'Cloud Nine', 'Swift Swim']",water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,75,1000000,500,80,82,78,95,80,85,50,1.7,76.6,1,0
56,Mankeyマンキー,Mankey,Pig Monkey Pokémon,"['Vital Spirit', 'Anger Point', 'Defiant']",fighting,,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,5120,70,190,1000000,305,40,80,35,35,45,70,50,0.5,28,1,0
57,Okorizaruオコリザル,Primeape,Pig Monkey Pokémon,"['Vital Spirit', 'Anger Point', 'Defiant']",fighting,,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,5120,70,75,1000000,455,65,105,60,60,70,95,50,1,32,1,0
58,Gardieガーディ,Growlithe,Puppy Pokémon,"['Intimidate', 'Flash Fire', 'Justified']",fire,,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,5120,70,190,1250000,350,55,70,45,70,50,60,75.4,0.7,19,1,0
59,Windieウインディ,Arcanine,Legendary Pokémon,"['Intimidate', 'Flash Fire', 'Justified']",fire,,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,5120,70,75,1250000,555,90,110,80,100,80,95,75.4,1.9,155,1,0
60,Nyoromoニョロモ,Poliwag,Tadpole Pokémon,"['Water Absorb', 'Damp', 'Swift Swim']",water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,255,1059860,300,40,50,40,40,40,90,50,0.6,12.4,1,0
61,Nyorozoニョロゾ,Poliwhirl,Tadpole Pokémon,"['Water Absorb', 'Damp', 'Swift Swim']",water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,120,1059860,385,65,65,65,50,50,90,50,1,20,1,0
62,Nyorobonニョロボン,Poliwrath,Tadpole Pokémon,"['Water Absorb', 'Damp', 'Swift Swim']",water,fighting,0.5,0.5,1,2,2,1,0.5,2,1,2,1,0.5,1,1,2,0.5,0.5,0.5,5120,70,45,1059860,510,90,95,95,70,90,70,50,1.3,54,1,0
63,Caseyケーシィ,Abra,Psi Pokémon,"['Synchronize', 'Inner Focus', 'Magic Guard']",psychic,,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,5120,70,200,1059860,310,25,20,15,105,55,90,75.4,0.9,19.5,1,0
64,Yungererユンゲラー,Kadabra,Psi Pokémon,"['Synchronize', 'Inner Focus', 'Magic Guard']",psychic,,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,5120,70,100,1059860,400,40,35,30,120,70,105,75.4,1.3,56.5,1,0
65,Foodinフーディン,Alakazam,Psi Pokémon,"['Synchronize', 'Inner Focus', 'Magic Guard']",psychic,,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,5120,70,50,1059860,600,55,50,65,175,105,150,75.4,1.5,48,1,0
66,Wanrikyワンリキー,Machop,Superpower Pokémon,"['Guts', 'No Guard', 'Steadfast']",fighting,,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,5120,70,180,1059860,305,70,80,50,35,35,35,75.4,0.8,19.5,1,0
67,Gorikyゴーリキー,Machoke,Superpower Pokémon,"['Guts', 'No Guard', 'Steadfast']",fighting,,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,5120,70,90,1059860,405,80,100,70,50,60,45,75.4,1.5,70.5,1,0
68,Kairikyカイリキー,Machamp,Superpower Pokémon,"['Guts', 'No Guard', 'Steadfast']",fighting,,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,5120,70,45,1059860,505,90,130,80,65,85,55,75.4,1.6,130,1,0
69,Madatsubomiマダツボミ,Bellsprout,Flower Pokémon,"['Chlorophyll', 'Gluttony']",grass,poison,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,5120,70,255,1059860,300,50,75,35,70,30,40,50,0.7,4,1,0
70,Utsudonウツドン,Weepinbell,Flycatcher Pokémon,"['Chlorophyll', 'Gluttony']",grass,poison,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,5120,70,120,1059860,390,65,90,50,85,45,55,50,1,6.4,1,0
71,Utsubotウツボット,Victreebel,Flycatcher Pokémon,"['Chlorophyll', 'Gluttony']",grass,poison,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,5120,70,45,1059860,490,80,105,65,100,70,70,50,1.7,15.5,1,0
72,Menokurageメノクラゲ,Tentacool,Jellyfish Pokémon,"['Clear Body', 'Liquid Ooze', 'Rain Dish']",water,poison,0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5,5120,70,190,1250000,335,40,40,35,50,100,70,50,0.9,45.5,1,0
73,Dokukurageドククラゲ,Tentacruel,Jellyfish Pokémon,"['Clear Body', 'Liquid Ooze', 'Rain Dish']",water,poison,0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5,5120,70,60,1250000,515,80,70,65,80,120,100,50,1.6,55,1,0
74,Isitsubuteイシツブテ,Geodude,Rock Pokémon,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",rock,ground,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,3840,70,255,1059860,300,40,80,100,30,30,20,50,,,1,0
75,Goloneゴローン,Graveler,Rock Pokémon,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",rock,ground,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,3840,70,120,1059860,390,55,95,115,45,45,35,50,,,1,0
76,Golonyaゴローニャ,Golem,Megaton Pokémon,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",rock,ground,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,3840,70,45,1059860,495,80,120,130,55,65,45,50,,,1,0
77,Ponytaポニータ,Ponyta,Fire Horse Pokémon,"['Run Away', 'Flash Fire', 'Flame Body']",fire,,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,5120,70,190,1000000,410,50,85,55,65,65,90,50,1,30,1,0
78,Gallopギャロップ,Rapidash,Fire Horse Pokémon,"['Run Away', 'Flash Fire', 'Flame Body']",fire,,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,5120,70,60,1000000,500,65,100,70,80,80,105,50,1.7,95,1,0
79,Yadonヤドン,Slowpoke,Dopey Pokémon,"['Oblivious', 'Own Tempo', 'Regenerator']",water,psychic,2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,5120,70,190,1000000,315,90,65,65,40,40,15,50,1.2,36,1,0
80,Yadoranヤドラン,Slowbro,Hermit Crab Pokémon,"['Oblivious', 'Own Tempo', 'Regenerator']",water,psychic,2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,5120,70,75,1000000,590,95,75,180,130,80,30,50,1.6,78.5,1,0
81,Coilコイル,Magnemite,Magnet Pokémon,"['Magnet Pull', 'Sturdy', 'Analytic']",electric,steel,0.5,1,0.5,0.5,0.5,2,2,0.25,1,0.5,4,0.5,0.5,0,0.5,0.5,0.25,1,5120,70,190,1000000,325,25,35,70,95,55,45,,0.3,6,1,0
82,Rarecoilレアコイル,Magneton,Magnet Pokémon,"['Magnet Pull', 'Sturdy', 'Analytic']",electric,steel,0.5,1,0.5,0.5,0.5,2,2,0.25,1,0.5,4,0.5,0.5,0,0.5,0.5,0.25,1,5120,70,60,1000000,465,50,60,95,120,70,70,,1,60,1,0
83,Kamonegiカモネギ,Farfetch'd,Wild Duck Pokémon,"['Keen Eye', 'Inner Focus', 'Defiant']",normal,flying,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,5120,70,45,1000000,377,52,90,55,58,62,60,50,0.8,15,1,0
84,Dodoドードー,Doduo,Twin Bird Pokémon,"['Run Away', 'Early Bird', 'Tangled Feet']",normal,flying,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,5120,70,190,1000000,310,35,85,45,35,35,75,50,1.4,39.2,1,0
85,Dodorioドードリオ,Dodrio,Triple Bird Pokémon,"['Run Away', 'Early Bird', 'Tangled Feet']",normal,flying,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,5120,70,45,1000000,470,60,110,70,60,60,110,50,1.8,85.2,1,0
86,Pawouパウワウ,Seel,Sea Lion Pokémon,"['Thick Fat', 'Hydration', 'Ice Body']",water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,190,1000000,325,65,45,55,45,70,45,50,1.1,90,1,0
87,Jugonジュゴン,Dewgong,Sea Lion Pokémon,"['Thick Fat', 'Hydration', 'Ice Body']",water,ice,1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5,5120,70,75,1000000,475,90,70,80,70,95,70,50,1.7,120,1,0
88,Betbeterベトベター,Grimer,Sludge Pokémon,"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']",poison,poison,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,5120,70,190,1000000,325,80,80,50,40,50,25,50,,,1,0
89,Betbetonベトベトン,Muk,Sludge Pokémon,"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']",poison,poison,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,5120,70,75,1000000,500,105,105,75,65,100,50,50,,,1,0
90,Shellderシェルダー,Shellder,Bivalve Pokémon,"['Shell Armor', 'Skill Link', 'Overcoat']",water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,190,1250000,305,30,65,100,45,25,40,50,0.3,4,1,0
91,Parshenパルシェン,Cloyster,Bivalve Pokémon,"['Shell Armor', 'Skill Link', 'Overcoat']",water,ice,1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5,5120,70,60,1250000,525,50,95,180,85,45,70,50,1.5,132.5,1,0
92,Ghosゴース,Gastly,Gas Pokémon,['Levitate'],ghost,poison,0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1,5120,70,190,1059860,310,30,35,30,100,35,80,50,1.3,0.1,1,0
93,Ghostゴースト,Haunter,Gas Pokémon,['Levitate'],ghost,poison,0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1,5120,70,90,1059860,405,45,50,45,115,55,95,50,1.6,0.1,1,0
94,Gangarゲンガー,Gengar,Shadow Pokémon,['Cursed Body'],ghost,poison,0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1,5120,70,45,1059860,600,60,65,80,170,95,130,50,1.5,40.5,1,0
95,Iwarkイワーク,Onix,Rock Snake Pokémon,"['Rock Head', 'Sturdy', 'Weak Armor']",rock,ground,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,6400,70,45,1000000,385,35,45,160,30,45,70,50,8.8,210,1,0
96,Sleepeスリープ,Drowzee,Hypnosis Pokémon,"['Insomnia', 'Forewarn', 'Inner Focus']",psychic,,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,5120,70,190,1000000,328,60,48,45,43,90,42,50,1,32.4,1,0
